OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,decay_risk_flag,epoch_age_days,decay_risk_score
STARLINK-11347 [DTC],2025-035C,2026-07-15 17:20:00.275424,15.70865216,0.00023303,43.0018,323.9123,279.574,80.4864,63054,8135,0.0010215663,0.00132895,0.0,True,1.8270636641898148,2.5649566620021735
STARLINK-11680 [DTC],2025-075G,2026-07-16 02:35:12.050304,15.70845794,0.00019291,43.003,99.9049,286.99,73.0756,63554,7344,0.0010172394,0.00132207,0.0,True,1.441510714189815,2.5519229472108553
STARLINK-11662 [DTC],2025-089D,2026-07-15 11:40:43.070304,15.70986152,0.000228,42.9994,242.0178,289.464,70.5981,63754,7028,0.0010170217,0.00132978,0.0,True,2.0626794641898147,2.5512671798693245
STARLINK-11673 [DTC],2025-124B,2026-07-15 20:50:21.272064,15.70887131,0.0002472,43.0006,336.5917,281.7079,78.3511,64318,6299,0.0010127,0.00131841,0.0,True,1.6809873141898148,2.5382491287903446
STARLINK-11386 [DTC],2024-220L,2026-07-15 18:52:36.004512,15.70945579,0.00032762,43.0013,350.5777,268.3923,91.6569,62098,9510,0.0010112079,0.00131989,0.0,True,1.7627612441898148,2.533754547025079
STARLINK-11583 [DTC],2025-031L,2026-07-15 09:22:31.334880,15.70850272,0.00014323,42.9949,311.9626,238.8977,121.175,62991,8283,0.0010092128,0.00131167,0.0,True,2.158648624189815,2.5277448023163593
STARLINK-32696,2024-239K,2026-07-15 17:52:38.066592,15.34414482,9.993e-05,53.1594,317.4309,72.2437,287.8675,62310,8901,0.0010079898,0.0003385,0.0,True,1.8044040441898148,2.5240608176645805
STARLINK-11646 [DTC],2025-048D,2026-07-15 05:27:55.117728,15.70895159,0.00014007,42.9979,270.7756,220.4646,139.6118,63186,7858,0.0010066538,0.00131078,0.0,True,2.3215678041898147,2.5200364484946896
STARLINK-11468 [DTC],2024-231D,2026-07-16 03:35:51.113760,15.69768594,0.00011051,53.1579,188.2963,121.5732,238.5394,62221,9358,0.0010057097,0.00123378,0.0,True,1.3993919241898147,2.5171925810296494
STARLINK-11550 [DTC],2025-035A,2026-07-15 11:51:48.427200,15.70831254,0.00035098,43.0017,324.7653,289.9433,70.1056,63052,8132,0.0010050432,0.00130533,0.0,True,2.054978574189815,2.5151849148232626
STARLINK-33908,2025-087D,2026-07-15 19:01:04.008864,15.30235154,5.388e-05,53.1616,344.47,81.026,279.0802,63700,6881,0.0010036887,0.00029518,0.0,True,1.7568815641898146,2.511104818984477
STARLINK-11449 [DTC],2025-032H,2026-07-16 05:59:06.749952,15.70848312,0.00010647,43.0007,140.3602,305.9552,54.1217,63012,8243,0.0010023429,0.00130243,0.0,True,1.2999053941898149,2.5070509297413337
STARLINK-30806,2023-167F,2026-07-16 04:59:57.139872,15.35799588,0.00074099,42.998,134.7061,170.9992,189.0997,58180,15067,0.0010021989,0.0003558,0.0,True,1.3409888441898148,2.506617165399669
STARLINK-11582 [DTC],2025-031E,2026-07-15 15:05:50.009856,15.70874152,0.0003127,42.9987,310.3129,309.6443,50.4148,62985,8286,0.0010016,0.00130307,0.0,True,1.9202380341898149,2.5048131274536756
STARLINK-31096,2023-200D,2026-07-16 06:49:52.266144,15.38123688,0.001427,42.9948,159.4806,147.3491,212.8249,58592,14331,0.00099911528,0.00038365,0.0,True,1.2646563641898148,2.497328523738248
STARLINK-11424 [DTC],2024-209L,2026-07-16 06:21:30.354624,15.69757831,8.91e-05,53.1572,97.3193,92.4103,267.7016,61949,9687,0.00099530736,0.00122021,0.0,True,1.2843544141898149,2.485858107683299
STARLINK-11504 [DTC],2024-237H,2026-07-16 03:35:53.694528,15.70921301,0.00020253,42.9991,2.4799,290.6871,69.3779,62274,9320,0.0009924003,0.00129335,0.0,True,1.3993620541898149,2.4771013093007963
STARLINK-11493 [DTC],2024-249B,2026-07-16 04:11:12.518016,15.70876024,0.00017824,43.0013,113.5814,266.4627,93.6037,62410,8968,0.00099159124,0.00128975,0.0,True,1.374838634189815,2.4746642163961616
STARLINK-11475 [DTC],2024-231J,2026-07-16 05:42:42.577056,15.6980485,0.00010767,53.1579,187.4087,88.5237,271.5904,62226,9360,0.00098686441,0.00121206,0.0,True,1.3112962841898148,2.4604258115134403
STARLINK-11436 [DTC],2025-024J,2026-07-16 04:00:14.844672,15.70943828,0.00018438,43.0012,126.9551,285.5408,74.5256,62887,8367,0.00098563855,0.00128558,0.0,True,1.3824505941898149,2.4567332118198757
STARLINK-36840,2026-034A,2026-07-15 12:49:13.782720,15.30215089,8.462e-05,53.16,330.1303,81.8048,278.3049,67850,2361,0.00098415242,0.00028916,0.0,True,2.015101774189815,2.4522566132012753
STARLINK-11523 [DTC],2025-006M,2026-07-15 23:04:47.824032,15.70835063,0.00022299,43.0028,86.9429,263.4925,96.5688,62565,8677,0.00098215563,0.00127504,0.0,True,1.5876244441898146,2.4462417777860463
STARLINK-11521 [DTC],2025-008L,2026-07-16 01:10:02.240256,15.70874495,0.00018539,43.0005,72.2919,268.1401,91.9255,62597,8747,0.00097910022,0.00127311,0.0,True,1.5006520341898149,2.437038111764058
STARLINK-1296,2020-019BE,2026-07-15 11:44:27.372480,15.41990155,0.00013428,53.1528,250.3483,328.6412,31.4513,45412,34961,0.00097890604,0.00042179,0.0,True,2.060083374189815,2.4364531925983317
STARLINK-11546 [DTC],2025-019G,2026-07-15 14:40:40.720224,15.70873586,0.00012728,42.9987,255.4379,272.8044,87.2678,62835,8399,0.00097651579,0.00126961,0.0,True,1.9377066641898149,2.4292531563645503
STARLINK-30994,2023-186L,2026-07-16 03:35:37.331232,15.35987709,0.00090875,42.9971,251.81,29.5048,330.6319,58483,14748,0.00097577201,0.00034857,0.0,True,1.3995514441898147,2.4270127032948037
STARLINK-4565,2022-101AM,2026-07-16 04:44:16.139328,15.35435744,0.00015105,53.1591,193.5872,112.1609,247.9554,53562,21655,0.0009752969,0.00033831,0.0,True,1.3518800541898148,2.4255815520700232
STARLINK-30714,2023-148E,2026-07-16 04:25:28.360992,15.32065365,0.00018841,53.1584,147.4729,93.4111,266.7106,57939,15809,0.00097398488,0.00030329,0.0,True,1.3649330441898149,2.421629416712029
STARLINK-11567 [DTC],2025-027C,2026-07-15 08:01:51.089376,15.70857716,0.00014687,42.9984,298.5939,252.8982,107.1725,62909,8322,0.00097296505,0.00126406,0.0,True,2.2146699841898148,2.418557431374806
STARLINK-11517 [DTC],2025-006F,2026-07-15 19:46:22.627200,15.70875376,0.00018554,43.0003,87.6304,258.528,101.5379,62559,8675,0.00097182002,0.00126351,0.0,True,1.7254160741898148,2.415108312040524
STARLINK-11387 [DTC],2024-220C,2026-07-15 19:53:45.782304,15.70901593,0.0003527,43.0036,350.9223,292.4793,67.5701,62090,9520,0.000971412,0.00126462,0.0,True,1.7202869641898149,2.413879252827426
STARLINK-11690 [DTC],2025-119K,2026-07-16 05:48:13.280832,15.70895694,0.0004468,43.0012,154.1516,294.1861,65.854,64242,6546,0.00096492692,0.00125594,0.0,True,1.3074686941898148,2.3943445552104525
STARLINK-30808,2023-171W,2026-07-16 06:25:51.756960,15.30927439,0.00027368,42.9974,278.6541,346.0851,13.9926,58250,14940,0.0009637965,0.0002925,0.0,True,1.281328924189815,2.3909394448833363
STARLINK-11608 [DTC],2025-053L,2026-07-16 00:19:50.558304,15.70950525,5.606e-05,42.9997,58.5477,265.6722,94.4082,63275,7784,0.00096363622,0.00125667,0.0,True,1.535509464189815,2.390456641073044
STARLINK-11425 [DTC],2024-209E,2026-07-16 02:35:54.303360,15.69739289,0.0001394,53.1569,98.4888,114.1608,245.9556,61943,9684,0.00096261779,0.00117844,0.0,True,1.4410216741898147,2.387388872889143
STARLINK-1168,2020-006AE,2026-07-15 22:07:53.506848,15.38689516,0.0002965,53.1563,19.5019,122.4154,237.7137,45072,35654,0.00096173,0.00037102,0.0,True,1.6271420041898148,2.384714625355208
STARLINK-11675 [DTC],2025-119C,2026-07-16 06:03:30.998304,15.70868432,0.00025889,43.0008,154.2408,249.8505,110.2084,64235,6546,0.00096146236,0.0012495,0.0,True,1.2968469641898148,2.3839084261301857
STARLINK-3966,2022-051V,2026-07-16 05:12:46.570752,15.2958328,0.00023987,53.1612,270.3685,56.8904,303.2327,52552,23087,0.00096041556,0.00027656,0.0,True,1.332083394189815,2.3807552003464716
STARLINK-11542 [DTC],2025-031H,2026-07-16 07:22:23.765664,15.70911654,0.0001022,42.9973,305.9214,228.4818,131.5962,62988,8294,0.00095919204,0.00124869,0.0,True,1.2420695641898147,2.377069649323459
STARLINK-34871,2025-176V,2026-07-15 16:51:40.898880,15.34432648,0.00013386,53.1588,275.7282,75.8523,284.2628,65217,5275,0.00095851811,0.00032182,0.0,True,1.8467323741898147,2.3750396020819435
STARLINK-11303 [DTC],2024-220J,2026-07-15 11:30:05.853024,15.70943295,0.00014671,42.9957,352.5732,234.6647,125.4083,62096,9515,0.00095836608,0.0012493,0.0,True,2.070054664189815,2.3745816493537255
STARLINK-11590 [DTC],2025-039J,2026-07-16 00:29:03.631488,15.70916831,0.0001595,43.0008,183.7455,242.0862,117.9844,63112,7979,0.0009563493,0.00124521,0.0,True,1.5291081541898148,2.3685065990135663
STARLINK-11745 [DTC],2025-127G,2026-07-15 22:39:30.344544,15.70847192,0.00019542,43.0,31.4456,259.9019,100.1629,64376,6367,0.00095474459,0.00123941,0.0,True,1.6051878641898147,2.363672807508615
STARLINK-31129,2023-203G,2026-07-15 23:50:20.765760,15.2761895,0.00012521,43.003,62.5158,272.7045,87.3664,58624,14318,0.00095399356,0.00026114,0.0,True,1.555993174189815,2.3614105156091663
STARLINK-11466 [DTC],2024-231C,2026-07-16 04:53:24.711072,15.69700495,0.0001207,53.1582,187.9207,53.1054,307.0074,62220,9359,0.00095331954,0.00116492,0.0,True,1.3455308441898148,2.3593801972649375
STARLINK-32845,2025-018K,2026-07-15 23:05:23.216064,15.32543203,0.00018943,53.1584,73.3495,200.8837,159.2088,62815,8281,0.00095316724,0.00030124,0.0,True,1.587214814189815,2.358921431228579
STARLINK-11558 [DTC],2025-035D,2026-07-15 16:03:32.597856,15.70878023,0.00035797,43.0017,323.4829,274.5368,85.509,63055,8124,0.00095243543,0.00123822,0.0,True,1.880161784189815,2.3567170348197335
STARLINK-11553 [DTC],2025-032B,2026-07-15 21:35:37.065120,15.70922001,0.0001653,43.0034,142.9165,242.9464,117.1235,63006,8237,0.00095221,0.00123999,0.0,True,1.6495545241898149,2.356037982767362
STARLINK-11520 [DTC],2025-019F,2026-07-16 04:39:48.358080,15.70957437,0.00023112,42.9968,251.1805,215.5814,144.49,62834,8410,0.00095048517,0.00123964,0.0,True,1.3549793741898148,2.350842359507405
STARLINK-2211,2021-017BJ,2026-07-15 12:15:28.556352,15.54599956,0.00010054,53.1559,316.4414,13.7109,346.3929,47778,29762,0.00094979281,0.00063913,0.0,True,2.038541894189815,2.3487567964546603
STARLINK-11547 [DTC],2025-008A,2026-07-16 00:16:42.529440,15.70868762,0.00017333,43.0019,72.8876,270.3309,89.736,62587,8629,0.00094734416,0.00123074,0.0,True,1.537685724189815,2.341380844682315
STARLINK-11631 [DTC],2025-048N,2026-07-16 05:45:24.323904,15.70972502,0.00032636,42.9996,265.4953,297.9317,62.1221,63195,7873,0.0009464583,0.00123522,0.0,True,1.309424214189815,2.338712410795459
STARLINK-11700 [DTC],2025-107E,2026-07-16 00:01:34.566528,15.70857612,0.00014934,43.0018,45.2161,295.1816,64.8897,64068,6747,0.00094514026,0.00122722,0.0,True,1.5481945541898148,2.3347421416781815
STARLINK-1802,2020-073AJ,2026-07-15 19:05:31.553376,15.41796156,2.18e-05,53.1561,337.0876,122.6388,237.4638,46702,31716,0.00094493306,0.00040428,0.0,True,1.7537849841898148,2.334118002986564
